Symbol,Index Membership
ENGINERSIN.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ENRIN.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Energy, Nifty India Manufacturing, Nifty Next 50"
ENTERO.NS,Nifty Microcap 250
EPL.NS,Nifty Microcap 250
EQUITASBNK.NS,Nifty Microcap 250
ERIS.NS,"Nifty 500, Nifty Smallcap 250"
ESCORTS.NS,"Nifty 500, Nifty India Manufacturing, Nifty Midcap 150"
ETERNAL.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty India Consumption, Nifty India Digital, Nifty India Internet, Nifty Non-Cyclical Consumer, Nifty Transportation & Logistics"
ETHOSLTD.NS,Nifty Microcap 250
EUREKAFORB.NS,Nifty Microcap 250
EXIDEIND.NS,"Nifty 200, Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty Midcap 150, Nifty Transportation & Logistics"
FACT.NS,"Nifty 500, Nifty Smallcap 250"
FEDERALBNK.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Alpha Quality Value Low-Volatility 30, Nifty Bank, Nifty Housing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Private Bank, Nifty200 Momentum 30, Nifty200 Value 30"
FEDFINA.NS,Nifty Microcap 250
FIEMIND.NS,Nifty Microcap 250
FINCABLES.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
FINPIPE.NS,Nifty Microcap 250
FIRSTCRY.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
FIVESTAR.NS,"Nifty 500, Nifty Smallcap 250"
FLUOROCHEM.NS,"Nifty 500, Nifty Chemicals, Nifty Ev & New Age Automotive, Nifty Midcap 150"
FORCEMOT.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
FORTIS.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Healthcare Index, Nifty Infrastructure, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
FSL.NS,"Nifty 500, Nifty Smallcap 250"
GABRIEL.NS,"Nifty 500, Nifty Smallcap 250"
GAEL.NS,Nifty Microcap 250
GAIL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty Energy, Nifty Infrastructure, Nifty Next 50, Nifty Oil & Gas, Nifty Pse, Nifty200 Value 30"
GALLANTT.NS,"Nifty 500, Nifty Smallcap 250"
GESHIP.NS,"Nifty 500, Nifty Smallcap 250"
GHCL.NS,Nifty Microcap 250
GICRE.NS,"Nifty 500, Nifty Midcap 150"
GILLETTE.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
GLAND.NS,"Nifty 500, Nifty Pharma, Nifty Smallcap 250"
GLAXO.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Quality 50"
GLENMARK.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Healthcare Index, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Pharma, Nifty200 Momentum 30"
GMDCLTD.NS,"Nifty 500, Nifty Smallcap 250"
GMMPFAUDLR.NS,Nifty Microcap 250
GMRAIRPORT.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Transportation & Logistics, Nifty200 Momentum 30"
GMRP&UI.NS,Nifty Microcap 250
GNFC.NS,"Nifty Chemicals, Nifty Microcap 250"
GODFRYPHLP.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Midcap150 Quality 50"
GODIGIT.NS,"Nifty 500, Nifty Smallcap 250"
GODREJAGRO.NS,Nifty Microcap 250
GODREJCP.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Next 50, Nifty Non-Cyclical Consumer"
GODREJIND.NS,"Nifty 500, Nifty Midcap 150"
GODREJPROP.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Housing, Nifty Midcap 150, Nifty Realty, Nifty Reits & Realty"
GOKEX.NS,Nifty Microcap 250
GOKULAGRO.NS,Nifty Microcap 250
GPIL.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
GPPL.NS,Nifty Microcap 250
GRANULES.NS,"Nifty 500, Nifty Smallcap 250"
GRAPHITE.NS,"Nifty 500, Nifty Smallcap 250"
GRASIM.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Cement, Nifty Commodities, Nifty Housing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty200 Value 30"
GRAVITA.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
GREAVESCOT.NS,Nifty Microcap 250
GROWW.NS,"Nifty 200, Nifty 500, Nifty Capital Markets, Nifty India Internet, Nifty Midcap 150"
GRSE.NS,"Nifty 500, Nifty India Defence, Nifty Smallcap 250"
GRWRHITECH.NS,Nifty Microcap 250
GSFC.NS,Nifty Microcap 250
GUJGASLTD.NS,Nifty Midcap150 Quality 50
GVT&D.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Energy, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
